object_id,centroids_x,centroids_y,aspect_ratio,area,frames,scores,counted,ground_truth
3,58,1044,0,0,50,0.62,TRUE,1
3,58,1009,4.84070796460177,61811,51,0.85,TRUE,1
3,70,985,4.4469696969697,77484,52,0.89,TRUE,1
3,85,979,4.46212121212121,77748,53,0.9,TRUE,1
3,99,980,4.40151515151515,76692,54,0.89,TRUE,1
3,116,983,4.5390625,74368,55,0.89,TRUE,1
3,130,982,4.71774193548387,72540,56,0.88,TRUE,1
3,140,979,4.87704918032787,72590,57,0.87,TRUE,1
3,148,977,4.95867768595041,72600,58,0.9,TRUE,1
3,161,975,5.11864406779661,71272,59,0.88,TRUE,1
3,173,974,5.13559322033898,71508,60,0.86,TRUE,1
3,181,975,4.98347107438017,72963,61,0.88,TRUE,1
3,186,976,4.88617886178862,73923,62,0.9,TRUE,1
3,189,979,4.39259259259259,80055,63,0.9,TRUE,1
3,194,980,4.08965517241379,85985,64,0.89,TRUE,1
3,198,976,4.06711409395973,90294,65,0.86,TRUE,1
3,204,959,4.83703703703704,88155,66,0.88,TRUE,1
3,231,945,5.00740740740741,91260,67,0.86,TRUE,1
3,266,945,4.82481751824818,90557,68,0.86,TRUE,1
3,286,970,4.04861111111111,83952,69,0.1,TRUE,1
3,300,985,4.94782608695652,65435,70,0.88,TRUE,1
3,320,989,5.44761904761905,60060,71,0.88,TRUE,1
3,341,985,6.17708333333333,56928,72,0.85,TRUE,1
3,348,964,6.03738317757009,69122,73,0.88,TRUE,1
3,362,955,7.1304347826087,60352,74,0.85,TRUE,1
3,390,949,7.54545454545455,58432,75,0.85,TRUE,1
3,424,941,8.28048780487805,55678,76,0.8,TRUE,1
3,451,921,8.52325581395349,63038,77,0.8,TRUE,1
3,483,911,9.2625,59280,78,0.84,TRUE,1
3,527,914,9.025,57760,79,0.85,TRUE,1
3,570,912,8.20224719101124,64970,80,0.85,TRUE,1
3,608,911,7.54639175257732,71004,81,0.88,TRUE,1
3,644,911,6.09166666666667,87720,82,0.88,TRUE,1
3,666,908,6.85185185185185,79920,83,0.87,TRUE,1
3,686,917,9.41333333333333,52950,84,0.77,TRUE,1
5,38,1183,0,0,115,0.45,TRUE,1
5,56,949,5.97368421052632,77634,116,0.89,TRUE,1
5,68,883,5.55970149253731,99830,117,0.87,TRUE,1
5,79,847,5.30065359477124,124083,118,0.9,TRUE,1
5,116,869,4.9527027027027,108484,119,0.9,TRUE,1
5,144,881,5.03424657534247,107310,120,0.89,TRUE,1
5,163,900,4.9020979020979,100243,121,0.89,TRUE,1
5,188,904,5.45038167938931,93534,122,0.89,TRUE,1
5,226,899,5.61068702290076,96285,123,0.87,TRUE,1
5,259,905,5.43939393939394,94776,124,0.87,TRUE,1
5,279,915,5.568,87000,125,0.9,TRUE,1
5,298,929,4.91911764705882,90984,126,0.83,TRUE,1
5,315,906,5.42028985507246,103224,127,0.7,TRUE,1
5,333,936,4.53571428571429,88900,128,0.79,TRUE,1
5,341,948,5.22131147540984,77714,129,0.79,TRUE,1
5,349,960,4.96774193548387,76384,130,0.85,TRUE,1
